Calendar day,Customer,BGN,CS
3.1.2025,102139,"36,13",13
3.1.2025,100241,"9,73","3,5"
3.1.2025,104253,"5,56",2
3.1.2025,104911,"2,78",1
3.1.2025,104916,"5,56",2
3.1.2025,100989,"30,57",11
3.1.2025,104264,"22,23",8
3.1.2025,107483,"22,23",8
3.1.2025,100852,"188,99",68
3.1.2025,103546,"20,84","7,5"
3.1.2025,103559,"22,23",8
3.1.2025,107086,"55,59",20
3.1.2025,103411,"5,56",2
3.1.2025,103459,"5,56",2
3.1.2025,100175,"30,57",11
3.1.2025,108521,"19,45",7
3.1.2025,104263,"19,45",7
3.1.2025,105320,"41,69",15
3.1.2025,107448,"5,56",2
3.1.2025,100200,"3,47","1,25"
3.1.2025,106681,"36,13",13
3.1.2025,103640,"2,78",1
3.1.2025,107484,"5,56",2
3.1.2025,102135,"11,12",4
3.1.2025,105466,"8,34",3
3.1.2025,100823,"36,13",13
3.1.2025,103940,"22,23",8
3.1.2025,104179,"50,03",18
3.1.2025,103548,"5,56",2
3.1.2025,102182,"41,69",15
3.1.2025,104134,"2,78",1
3.1.2025,108339,"5,56",2
3.1.2025,107185,"2,78",1
3.1.2025,108120,"2,78",1
3.1.2025,108159,"5,56",2
3.1.2025,100876,"30,57",11
3.1.2025,112083,"11,12",4
3.1.2025,104127,"27,79",10
3.1.2025,111666,"38,91",14
3.1.2025,104261,"16,68",6
3.1.2025,105272,"8,34",3
3.1.2025,110922,"11,12",4
3.1.2025,104126,"11,12",4
3.1.2025,107891,"2,78",1
3.1.2025,110649,"0,69","0,25"
3.1.2025,111994,"30,57",11
3.1.2025,104015,"33,35",12
3.1.2025,106278,"19,45",7
3.1.2025,105780,"45,86","16,5"
3.1.2025,103928,"80,6",29
3.1.2025,100183,"22,23",8
3.1.2025,105277,"5,56",2
3.1.2025,107876,"2,78",1
3.1.2025,103550,"44,47",16
3.1.2025,103771,"13,9",5
3.1.2025,102221,"5,56",2
3.1.2025,107096,"11,12",4
3.1.2025,103895,"63,92",23
3.1.2025,106648,"252,91",91
3.1.2025,104089,"19,45",7
3.1.2025,103643,"5,56",2
3.1.2025,101080,"38,91",14
3.1.2025,106698,"13,9",5
3.1.2025,102226,"58,36",21
3.1.2025,100828,"63,92",23
3.1.2025,104088,"16,68",6
3.1.2025,106292,"8,34",3
3.1.2025,102197,"8,34",3
3.1.2025,104580,"8,34",3
3.1.2025,103460,"25,01",9
3.1.2025,103770,"11,12",4
3.1.2025,104458,"5,56",2
3.1.2025,100829,"2,78",1
3.1.2025,100830,"13,9",5
3.1.2025,100798,"2,78",1
3.1.2025,111857,"38,91",14
3.1.2025,103741,"2,78",1
3.1.2025,103958,"27,79",10
3.1.2025,104017,"13,9",5
3.1.2025,108764,"47,25",17
3.1.2025,105238,"2,78",1
3.1.2025,100839,"2,78",1
3.1.2025,109867,"30,57",11
3.1.2025,104085,"11,12",4
3.1.2025,104499,"25,01",9
3.1.2025,103422,"66,7",24
3.1.2025,104557,"33,35",12
3.1.2025,103646,"2,78",1
3.1.2025,100832,"16,68",6
3.1.2025,103848,"5,56",2
3.1.2025,109511,"25,01",9
3.1.2025,103930,"5,56",2
3.1.2025,105062,"5,56",2
3.1.2025,103755,"8,34",3
3.1.2025,104073,"13,9",5
3.1.2025,103977,"8,34",3
3.1.2025,103949,"5,56",2
