Customer,Customer Name,Region,City,Trade Channel,Segment,Seasonal,Тype
109281,ПЕЧЕН ПЪЛНЕН КАРТОФ ЕООД,Варна,ВАРНА,Bar,Bronze,Not Seasonal,Out of Home
106450,KFC ЕООД,Бургас,БУРГАС,Cafe,Bronze,Not Seasonal,Out of Home
106810,ЛАЗУР ЕООД,Варна,ВАРНА,Nightclub,Silver,Not Seasonal,Out of Home
110068,БЪРЗО ХРАНЕНЕ ДЕМО ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
106761,АМГЪЛ ЕООД,Варна,ВАРНА,Nightclub,Bronze,Not Seasonal,Out of Home
108226,БЪРЗО ХРАНЕНЕ ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
109008,КОРАБЧЕ ЕООД,Варна,ВАРНА,Hotels,Bronze,Not Seasonal,Out of Home
109654,СРЪБСКА СКАРА ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
106864,АЛФА ДЕМС ЕООД,Варна,ВАРНА,Nightclub,Bronze,Not Seasonal,Out of Home
107366,БЪРЗО ХРАНЕНЕ НОИ ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
109932,грил клуб ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
111906,ВОДЕН ДУХ ЕООД,Бургас,ПРИМОРСКО,Cafe,Bronze,Not Seasonal,Out of Home
111256,БУРГЕР ПОЙНТ ЕООД,Варна,ПРОВАДИЯ,Fast-food,Bronze,Not Seasonal,Out of Home
111742,ЧИКЪН ГРИЛ ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
110801,БАРНИ ЕООД,Варна,ДЕВНЯ,Restaurant,Bronze,Not Seasonal,Out of Home
107395,БЪРЗО ХРАНЕНЕ МЛАДОСТ ЕООД,Варна,ВАРНА,Restaurant,Silver,Seasonal,Out of Home
108951,ЧАРЛИ ЕООД,Варна,ВАРНА,Hotels,Bronze,Not Seasonal,Out of Home
109809,ПЕКАРНА САНДРИТА ЕООД,Варна,ВАРНА,Hotels,Bronze,Not Seasonal,Out of Home
109305,АВТОМИВКА ЛУКС ЕООД,Варна,ДОЛНИ ЧИФЛИК,Fast-food,Bronze,Not Seasonal,Out of Home
110116,ХРИБОР ЕООД,Варна,ДОЛНИ ЧИФЛИК,Fast-food,Bronze,Seasonal,Out of Home
107347,ИНТЕРНИ ЕООД,Варна,ДОЛНИ ЧИФЛИК,Restaurant,Bronze,Seasonal,Out of Home
105379,ЛАВКА ХАУС ЕООД,Бургас,ПОМОРИЕ,Cafe,Bronze,Not Seasonal,Out of Home
106753,DUNER KEBAP “ZOICHETO ЕООД,Варна,ВАРНА,Nightclub,Silver,Not Seasonal,Out of Home
111825,ЧЕЛОПЕЧЕНСКО ЧЕВЕРМЕ ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
110508,ГЕЛАРИС ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
105384,КОЛЕДНА КЪЩА ВЕЛЕВ ЕООД,Бургас,АЙТОС,Cafe,Bronze,Seasonal,Out of Home
108228,ГИРО ЛАНД ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
111845,ПЪРЖЕНА РИБА ЕООД,Бургас,СВЕТИ ВЛАС,Restaurant,Bronze,Not Seasonal,Out of Home
104849,БУНГАЛА ЕООД,Варна,ВАРНА,Cafe,Gold,Seasonal,Out of Home
110114,КАРАВАНА ЕООД,Варна,ДОЛНИ ЧИФЛИК,Fast-food,Iron,Not Seasonal,Out of Home
111823,АПК ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
110517,КОЛЕДНА КЪЩИЧКА ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
107287,РИБКАТА ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
110645,ПРИ БАЙ КОЛЬО ЕООД,Варна,ДОЛНИ ЧИФЛИК,Restaurant,Bronze,Seasonal,Out of Home
108911,БАУ БАУ ЕООД,Варна,ВАРНА,Hotels,Bronze,Not Seasonal,Out of Home
102395,БЪРЗО ХРАНЕНЕ ЕООД,Варна,ВАРНА,Local Shop,Bronze,Not Seasonal,Out of Home
106461,СТАРАТА ЛИМОНАДА ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
106594,ЮНАШКА СКАРА ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
109764,ПАЛАЧИНКИ ЕООД,Варна,СИНДЕЛ,Hotels,Bronze,Not Seasonal,Out of Home
109974,БЪРЗО ХРАНЕНЕ ЕООД,Бургас,БУРГАС,Cafe,Bronze,Not Seasonal,Out of Home
109236,СКАРА ЕООД,Варна,ВАРНА,Bar,Bronze,Not Seasonal,Out of Home
109470,ТОП БУРГЕР ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Seasonal,Out of Home
110418,БЪРЗО ХРАНЕНЕ ЕООД,Бургас,АЙТОС,Fast-food,Silver,Not Seasonal,Out of Home
105654,ХЕСБУРГЕР ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Bar,Silver,Seasonal,Out of Home
105564,Бурито ЕООД,Варна,ВАРНА,Bar,Bronze,Not Seasonal,Out of Home
111843,ДЮНЕР ХИТЪР ПЕТЪР ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Restaurant,Silver,Seasonal,Out of Home
105691,КИНГ КОНГ ЕООД,Бургас,ПОМОРИЕ,Bar,Bronze,Seasonal,Out of Home
111257,БЪРЗО ХРАНЕНЕ ЕООД,Варна,ОБЗОР,Fast-food,Bronze,Seasonal,Out of Home
